year,rain,colour,TP,chla,wind_speed,cyano,colour_prevSummer,TP_prevSummer,chla_prevSummer
1981,494.52028274,,28.833333335,8.33125,3.479891304347826,,,43.57301587333333,16.080129870272728
1982,460.222076644,26.666666666666668,26.988095237142858,5.975,3.7907608695652173,,,28.833333335,8.33125
1983,465.471464979,17.625,29.78125,6.050000000000001,4.259239130434782,,26.666666666666668,26.988095237142858,5.975
1984,561.657519956,,26.527499999999996,11.09,3.8114130434782605,,17.625,29.78125,6.050000000000001
1985,548.106383722,34.404761904285714,30.957142858571427,11.895238094714285,3.6331521739130435,,,26.527499999999996,11.09
1986,428.065964031,27.472222223333333,33.78888889,12.677777776666666,4.1375,,34.404761904285714,30.957142858571427,11.895238094714285
1987,711.386455466,29.02777777833333,23.433333333333334,8.511111111166667,3.4663043478260867,,27.472222223333333,33.78888889,12.677777776666666
1988,648.45424541,32.27777777666667,29.53333333333333,14.055555556666667,3.470108695652174,,29.02777777833333,23.433333333333334,8.511111111166667
1989,392.461421005,23.857142857142858,27.057142857142853,14.271428571428572,3.759782608695652,,32.27777777666667,29.53333333333333,14.055555556666667
1990,403.232772523,19.857142857142858,28.900000000000002,12.242857142857144,3.6864130434782605,,23.857142857142858,27.057142857142853,14.271428571428572
1991,397.929408115,20.625,27.225,9.425,3.6847826086956523,,19.857142857142858,28.900000000000002,12.242857142857144
1992,375.79477667,21.285714285714285,31.342857142857145,16.757142857142856,3.7097826086956522,,20.625,27.225,9.425
1993,493.483100159,24.428571428571427,27.3,12.614285714285714,3.4364130434782605,,21.285714285714285,31.342857142857145,16.757142857142856
1994,386.104043253,27.714285714285715,30.442857142857147,18.25714285714286,3.6461956521739127,,24.428571428571427,27.3,12.614285714285714
1995,431.112716254,25.833333333333332,29.45,21.883333333333336,3.6168478260869565,,27.714285714285715,30.442857142857147,18.25714285714286
1996,458.782144017,17.666666666666668,31.28333333333333,21.3,3.5244565217391304,1.6983368811009338,25.833333333333332,29.45,21.883333333333336
1997,420.414229542,19.0,29.416666666666668,23.066666666666666,3.231521739130435,1.0923843858945121,17.666666666666668,31.28333333333333,21.3
1998,520.147169157,,32.36666666666667,21.099999999999998,3.488586956521739,0.8590913034630471,19.0,29.416666666666668,23.066666666666666
1999,636.833939021,50.42307692307692,,,3.5309782608695657,1.954313087724298,,32.36666666666667,21.099999999999998
2000,621.651733148,42.56,32.666666666666664,22.166666666666668,3.6114130434782608,1.6662609926961491,50.42307692307692,,
2001,518.289505818,68.42307692307692,38.333333333333336,21.03333333333333,3.664130434782609,-0.5301565543605243,42.56,32.666666666666664,22.166666666666668
2002,535.578266566,54.57692307692308,36.666666666666664,25.5,3.257065217391304,-0.01814748411974865,68.42307692307692,38.333333333333336,21.03333333333333
2003,413.40980962000003,42.875,33.57142857142857,16.821428571428573,3.493478260869565,0.2587069566190108,54.57692307692308,36.666666666666664,25.5
2004,558.396489496,38.666666666666664,36.833333333333336,25.599999999999998,3.5329411764705885,1.8058857049023747,42.875,33.57142857142857,16.821428571428573
2005,471.919824867,46.5,32.01086956521739,20.2,3.465497076023392,1.184305666727358,38.666666666666664,36.833333333333336,25.599999999999998
2006,533.370308277,48.333333333333336,34.5,29.15416666666667,3.062295081967213,1.6385369312936098,46.5,32.01086956521739,20.2
2007,556.130432226,64.66666666666667,32.16,17.944000000000003,3.403314917127072,1.3627968822569902,48.333333333333336,34.5,29.15416666666667
2008,590.597540865,69.0,32.75,15.887500000000001,3.0904494382022474,-0.29792910366024683,64.66666666666667,32.16,17.944000000000003
2009,490.614022418,58.285714285714285,28.956521739130434,16.343478260869563,3.2086956521739127,0.47201651129618205,69.0,32.75,15.887500000000001
2010,563.278236902,61.714285714285715,26.347826086956523,11.695652173913043,3.2792349726775956,-1.389570764944003,58.285714285714285,28.956521739130434,16.343478260869563
2011,733.474577136,72.88888888888889,26.56,12.187999999999999,3.3375,-2.241768953042097,61.714285714285715,26.347826086956523,11.695652173913043
2012,645.735078393,64.15384615384616,26.391304347826086,13.799999999999999,3.631868131868132,-1.4408971412231413,72.88888888888889,26.56,12.187999999999999
2013,504.924783321,60.223076923076924,22.99230769230769,14.13846153846154,3.5597826086956523,-0.608085599179727,64.15384615384616,26.391304347826086,13.799999999999999
2014,633.60397944,41.86363636363637,20.3,12.6,3.508839779005525,-1.1858864005546046,60.223076923076924,22.99230769230769,14.13846153846154
2015,684.936514938,52.833333333333336,24.25,14.924999999999999,3.7690217391304346,-1.3555853217473475,41.86363636363637,20.3,12.6
2016,396.82371279,52.0,18.75,9.590909090909092,3.7516304347826086,-1.6437618486245638,52.833333333333336,24.25,14.924999999999999
2017,570.221294752,42.0,19.666666666666668,12.866666666666667,3.7054347826086955,-1.2670299527728108,52.0,18.75,9.590909090909092
2018,300.208552709,36.333333333333336,18.666666666666668,10.741666666666667,3.9597826086956522,-0.4760559125166805,42.0,19.666666666666668,12.866666666666667
