year,colour,TP,chla,cyano,colour_prevSummer,TP_prevSummer,chla_prevSummer
1981,,28.833333335,8.33125,,,43.57301587333333,16.080129870272728
1982,26.666666666666668,26.988095237142858,5.975,,,28.833333335,8.33125
1983,17.625,29.78125,6.050000000000001,,26.666666666666668,26.988095237142858,5.975
1984,,26.527499999999996,11.09,,17.625,29.78125,6.050000000000001
1985,34.404761904285714,30.957142858571427,11.895238094714285,,,26.527499999999996,11.09
1986,27.472222223333333,33.78888889,12.677777776666666,,34.404761904285714,30.957142858571427,11.895238094714285
1987,29.02777777833333,23.433333333333334,8.511111111166667,,27.472222223333333,33.78888889,12.677777776666666
1988,32.27777777666667,29.53333333333333,14.055555556666667,,29.02777777833333,23.433333333333334,8.511111111166667
1989,23.857142857142858,27.057142857142853,14.271428571428572,,32.27777777666667,29.53333333333333,14.055555556666667
1990,19.857142857142858,28.900000000000002,12.242857142857144,,23.857142857142858,27.057142857142853,14.271428571428572
1991,20.625,27.225,9.425,,19.857142857142858,28.900000000000002,12.242857142857144
1992,21.285714285714285,31.342857142857145,16.757142857142856,,20.625,27.225,9.425
1993,24.428571428571427,27.3,12.614285714285714,,21.285714285714285,31.342857142857145,16.757142857142856
1994,27.714285714285715,30.442857142857147,18.25714285714286,,24.428571428571427,27.3,12.614285714285714
1995,25.833333333333332,29.45,21.883333333333336,,27.714285714285715,30.442857142857147,18.25714285714286
1996,17.666666666666668,31.28333333333333,21.3,1.6983368811009338,25.833333333333332,29.45,21.883333333333336
1997,19.0,29.416666666666668,23.066666666666666,1.0923843858945121,17.666666666666668,31.28333333333333,21.3
1998,,32.36666666666667,21.099999999999998,0.8590913034630471,19.0,29.416666666666668,23.066666666666666
1999,50.42307692307692,,,1.954313087724298,,32.36666666666667,21.099999999999998
2000,42.56,32.666666666666664,22.166666666666668,1.6662609926961491,50.42307692307692,,
2001,68.42307692307692,38.333333333333336,21.03333333333333,-0.5301565543605243,42.56,32.666666666666664,22.166666666666668
2002,54.57692307692308,36.666666666666664,25.5,-0.01814748411974865,68.42307692307692,38.333333333333336,21.03333333333333
2003,42.875,33.57142857142857,16.821428571428573,0.2587069566190108,54.57692307692308,36.666666666666664,25.5
2004,38.666666666666664,36.833333333333336,25.599999999999998,1.8058857049023747,42.875,33.57142857142857,16.821428571428573
2005,46.5,32.01086956521739,20.2,1.184305666727358,38.666666666666664,36.833333333333336,25.599999999999998
2006,48.333333333333336,34.5,29.15416666666667,1.6385369312936098,46.5,32.01086956521739,20.2
2007,64.66666666666667,32.16,17.944000000000003,1.3627968822569902,48.333333333333336,34.5,29.15416666666667
2008,69.0,32.75,15.887500000000001,-0.29792910366024683,64.66666666666667,32.16,17.944000000000003
2009,58.285714285714285,28.956521739130434,16.343478260869563,0.47201651129618205,69.0,32.75,15.887500000000001
2010,61.714285714285715,26.347826086956523,11.695652173913043,-1.389570764944003,58.285714285714285,28.956521739130434,16.343478260869563
2011,72.88888888888889,26.56,12.187999999999999,-2.241768953042097,61.714285714285715,26.347826086956523,11.695652173913043
2012,64.15384615384616,26.391304347826086,13.799999999999999,-1.4408971412231413,72.88888888888889,26.56,12.187999999999999
2013,60.223076923076924,22.99230769230769,14.13846153846154,-0.608085599179727,64.15384615384616,26.391304347826086,13.799999999999999
2014,41.86363636363637,20.3,12.6,-1.1858864005546046,60.223076923076924,22.99230769230769,14.13846153846154
2015,52.833333333333336,24.25,14.924999999999999,-1.3555853217473475,41.86363636363637,20.3,12.6
2016,52.0,18.75,9.590909090909092,-1.6437618486245638,52.833333333333336,24.25,14.924999999999999
2017,42.0,19.666666666666668,12.866666666666667,-1.2670299527728108,52.0,18.75,9.590909090909092
2018,36.333333333333336,18.666666666666668,10.741666666666667,-0.4760559125166805,42.0,19.666666666666668,12.866666666666667
