year,colour_prevSummer,TP_prevSummer,chla_prevSummer
1981,26.666666666666668,43.57301587333334,16.080129870272728
1982,26.666666666666668,28.833333335,8.33125
1983,26.666666666666668,26.988095237142858,5.974999999999999
1984,17.625,29.781250000000004,6.05
1985,26.014880952142857,26.527500000000003,11.09
1986,34.404761904285714,30.957142858571427,11.895238094714289
1987,27.472222223333333,33.78888889,12.677777776666666
1988,29.02777777833333,23.433333333333334,8.511111111166667
1989,32.27777777666667,29.53333333333333,14.055555556666668
1990,23.857142857142858,27.057142857142853,14.271428571428572
1991,19.857142857142858,28.90000000000001,12.242857142857142
1992,20.625,27.225,9.425
1993,21.285714285714285,31.342857142857145,16.757142857142856
1994,24.428571428571427,27.3,12.614285714285716
1995,27.714285714285715,30.442857142857147,18.257142857142856
1996,25.83333333333333,29.45,21.883333333333336
1997,17.666666666666668,31.28333333333333,21.3
1998,19.0,29.416666666666668,23.066666666666663
1999,34.71153846153846,32.36666666666667,21.1
2000,50.42307692307692,32.516666666666666,21.633333333333333
2001,42.56,32.666666666666664,22.166666666666668
2002,68.42307692307692,38.333333333333336,21.03333333333333
2003,54.57692307692308,36.66666666666666,25.5
2004,42.875,33.57142857142857,16.821428571428573
2005,38.66666666666666,36.833333333333336,25.6
2006,46.5,32.01086956521739,20.2
2007,48.333333333333336,34.5,29.15416666666667
2008,64.66666666666667,32.16,17.944000000000003
2009,69.0,32.75,15.887500000000005
2010,58.285714285714285,28.956521739130437,16.343478260869567
2011,61.71428571428572,26.347826086956523,11.69565217391304
2012,72.88888888888889,26.56,12.188000000000002
2013,64.15384615384616,26.39130434782609,13.8
2014,60.22307692307693,22.99230769230769,14.13846153846154
2015,41.86363636363637,20.3,12.6
2016,52.833333333333336,24.25,14.924999999999995
2017,52.0,18.75,9.590909090909092
2018,42.0,19.666666666666668,12.866666666666664
