year,chla,chla_prevSummer,colour,colour_prevSummer,rain,TP,TP_prevSummer,wind_speed
1981,8.33125,16.080129870272728,26.666666666666668,26.666666666666668,494.52028274,28.833333335,43.57301587333333,3.479891304347826
1982,5.975,8.33125,26.666666666666668,26.666666666666668,460.222076644,26.988095237142858,28.833333335,3.790760869565217
1983,6.050000000000001,5.975,17.625,26.666666666666668,465.471464979,29.78125,26.988095237142858,4.259239130434782
1984,11.09,6.050000000000001,26.014880952142857,17.625,561.657519956,26.5275,29.78125,3.811413043478261
1985,11.895238094714284,11.09,34.404761904285714,26.014880952142857,548.106383722,30.957142858571427,26.5275,3.633152173913044
1986,12.677777776666666,11.895238094714284,27.472222223333333,34.404761904285714,428.065964031,33.78888889,30.957142858571427,4.1375
1987,8.511111111166667,12.677777776666666,29.02777777833333,27.472222223333333,711.386455466,23.433333333333334,33.78888889,3.4663043478260867
1988,14.055555556666668,8.511111111166667,32.27777777666667,29.02777777833333,648.45424541,29.53333333333333,23.433333333333334,3.470108695652174
1989,14.271428571428572,14.055555556666668,23.857142857142858,32.27777777666667,392.461421005,27.057142857142853,29.53333333333333,3.759782608695652
1990,12.242857142857144,14.271428571428572,19.857142857142858,23.857142857142858,403.232772523,28.9,27.057142857142853,3.686413043478261
1991,9.425,12.242857142857144,20.625,19.857142857142858,397.929408115,27.225,28.9,3.684782608695652
1992,16.757142857142856,9.425,21.285714285714285,20.625,375.79477667,31.342857142857145,27.225,3.709782608695652
1993,12.614285714285714,16.757142857142856,24.428571428571427,21.285714285714285,493.483100159,27.3,31.342857142857145,3.4364130434782605
1994,18.25714285714286,12.614285714285714,27.714285714285715,24.428571428571427,386.104043253,30.442857142857147,27.3,3.6461956521739127
1995,21.883333333333336,18.25714285714286,25.83333333333333,27.714285714285715,431.112716254,29.45,30.442857142857147,3.616847826086957
1996,21.3,21.883333333333336,17.666666666666668,25.83333333333333,458.782144017,31.28333333333333,29.45,3.5244565217391304
1997,23.066666666666663,21.3,19.0,17.666666666666668,420.414229542,29.416666666666668,31.28333333333333,3.231521739130435
1998,21.1,23.066666666666663,34.71153846153846,19.0,520.147169157,32.36666666666667,29.416666666666668,3.488586956521739
1999,21.633333333333333,21.1,50.42307692307692,34.71153846153846,636.833939021,32.516666666666666,32.36666666666667,3.5309782608695657
2000,22.166666666666668,21.633333333333333,42.56,50.42307692307692,621.651733148,32.666666666666664,32.516666666666666,3.6114130434782608
2001,21.03333333333333,22.166666666666668,68.42307692307692,42.56,518.289505818,38.333333333333336,32.666666666666664,3.664130434782609
2002,25.5,21.03333333333333,54.57692307692308,68.42307692307692,535.578266566,36.66666666666666,38.333333333333336,3.257065217391304
2003,16.821428571428573,25.5,42.875,54.57692307692308,413.40980962,33.57142857142857,36.66666666666666,3.493478260869565
2004,25.6,16.821428571428573,38.66666666666666,42.875,558.396489496,36.833333333333336,33.57142857142857,3.5329411764705885
2005,20.2,25.6,46.5,38.66666666666666,471.919824867,32.01086956521739,36.833333333333336,3.465497076023392
2006,29.15416666666667,20.2,48.333333333333336,46.5,533.370308277,34.5,32.01086956521739,3.062295081967213
2007,17.944000000000003,29.15416666666667,64.66666666666667,48.333333333333336,556.130432226,32.16,34.5,3.403314917127072
2008,15.8875,17.944000000000003,69.0,64.66666666666667,590.597540865,32.75,32.16,3.0904494382022474
2009,16.343478260869563,15.8875,58.285714285714285,69.0,490.614022418,28.956521739130437,32.75,3.2086956521739127
2010,11.695652173913045,16.343478260869563,61.71428571428572,58.285714285714285,563.278236902,26.347826086956523,28.956521739130437,3.279234972677596
2011,12.188,11.695652173913045,72.88888888888889,61.71428571428572,733.474577136,26.56,26.347826086956523,3.3375
2012,13.8,12.188,64.15384615384616,72.88888888888889,645.735078393,26.39130434782609,26.56,3.631868131868132
2013,14.13846153846154,13.8,60.22307692307693,64.15384615384616,504.924783321,22.99230769230769,26.39130434782609,3.5597826086956523
2014,12.6,14.13846153846154,41.86363636363637,60.22307692307693,633.60397944,20.3,22.99230769230769,3.508839779005525
2015,14.925,12.6,52.833333333333336,41.86363636363637,684.936514938,24.25,20.3,3.7690217391304346
2016,9.590909090909092,14.925,52.0,52.833333333333336,396.82371279,18.75,24.25,3.7516304347826086
2017,12.866666666666667,9.590909090909092,42.0,52.0,570.221294752,19.666666666666668,18.75,3.705434782608696
2018,10.741666666666667,12.866666666666667,36.333333333333336,42.0,300.208552709,18.666666666666668,19.666666666666668,3.959782608695652
