,chl-a_lake,peak_date,peak_day,Pptn,Temp,Wind_speed,Q,TP_catch,TP_lake,colour_lake,CyanoBiovol,Rain_day,Pptn_intense,Wind_under_Q0.2,Wind_under_Q0.4,Wind_over_Q0.6,Wind_over_Q0.8,Temp_subzero
1980,27.1,1980-09-02,246.0,55.70806554,13.192362493999997,3.766666666666666,31.513,,67.757142855,,,8.0,1.0,1.0,5.0,5.0,3.0,0.0
1981,11.525,1981-09-01,244.0,12.814918559999999,13.531422908666666,3.046666666666666,7.3950000000000005,,46.66666667,,,2.0,0.0,2.0,7.0,4.0,0.0,0.0
1982,10.5,1982-08-18,230.0,34.448855209,18.13978734866667,3.913333333333333,2.3480000000000003,,23.33333333,,,4.0,1.0,0.0,5.0,6.0,5.0,0.0
1983,10.8,1983-07-26,207.0,20.054127844,18.148458964,3.7400000000000007,5.329,,38.4,11.0,,4.0,1.0,2.0,6.0,8.0,2.0,0.0
1984,20.975,1984-08-29,242.0,6.263266668,16.149742977333332,3.106666666666667,9.834999999999999,46.8,33.75,,,3.0,0.0,1.0,7.0,3.0,1.0,0.0
1985,21.3,1985-08-26,238.0,83.71627896100001,15.286199752000003,4.086666666666667,115.01000000000002,115.9,28.2,30.0,,12.0,3.0,4.0,6.0,9.0,7.0,0.0
1986,17.33333333,1986-07-22,203.0,24.776382363000003,15.889956334666666,4.613333333333333,,,39.2,29.66666667,,5.0,0.0,0.0,1.0,11.0,4.0,0.0
1987,13.9,1987-08-26,238.0,57.199696684,13.994714726666668,3.6533333333333338,,113.65,17.4,39.0,,6.0,3.0,1.0,4.0,5.0,2.0,0.0
1988,17.36666667,1988-08-29,242.0,108.368913251,14.560241324666666,3.5866666666666673,,73.53333333333333,25.0,43.33333333,,11.0,3.0,3.0,6.0,5.0,3.0,0.0
1989,42.7,1989-08-07,219.0,84.105390716,16.582871156666666,3.953333333333333,,48.6,18.0,21.0,,8.0,2.0,1.0,4.0,6.0,4.0,0.0
1990,23.1,1990-08-06,218.0,23.490746428999998,18.73216593866667,3.966666666666667,,32.53333333333334,32.0,18.0,,4.0,1.0,0.0,2.0,8.0,3.0,0.0
1991,15.1,1991-08-05,217.0,2.009402777,19.431597054,3.1533333333333333,,84.5,30.6,25.0,,1.0,0.0,4.0,7.0,4.0,3.0,0.0
1992,25.0,1992-09-13,257.0,49.390709412999996,11.179358768466667,4.013333333333334,,72.0,26.8,17.0,,10.0,1.0,1.0,3.0,9.0,3.0,0.0
1993,21.3,1993-08-02,214.0,50.249310659,14.848130350000002,3.4200000000000004,,40.6,34.4,43.0,,8.0,2.0,2.0,5.0,6.0,3.0,0.0
1994,30.6,1994-08-10,222.0,16.512571794000003,20.101714143999995,3.4866666666666672,0.4730000000000002,27.0,34.7,22.0,,4.0,0.0,0.0,5.0,3.0,2.0,0.0
1995,40.5,1995-08-16,228.0,6.93393581,18.498080997999995,3.166666666666667,9.126000000000001,107.45,40.3,24.0,,1.0,0.0,1.0,5.0,3.0,1.0,0.0
1996,32.6,1996-07-01,183.0,24.864361516,14.543063402666665,3.3666666666666667,18.211,43.23333333333333,30.3,20.0,1.83,7.0,0.0,1.0,7.0,5.0,2.0,0.0
1997,29.5,1997-07-03,184.0,59.714579932,15.915353042666665,3.6,9.76,38.95,32.3,20.0,1.85,7.0,3.0,0.0,6.0,6.0,4.0,0.0
1998,28.7,1998-08-26,238.0,68.855162513,13.796797442000004,3.4933333333333327,23.948999999999995,93.35,41.1,,2.28,9.0,2.0,0.0,6.0,6.0,2.0,0.0
1999,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,40.4,2000-08-29,242.0,46.30584025300001,14.644124275333331,3.013333333333334,16.311,41.5,27.0,36.0,4.67,5.0,2.0,1.0,7.0,4.0,0.0,0.0
2001,29.2,2001-08-08,220.0,42.657178801,16.692555859333332,3.873333333333333,7.458,43.0,34.0,71.5,0.551,3.0,2.0,0.0,3.0,7.0,2.0,0.0
2002,38.0,2002-08-28,240.0,4.428577764,19.734343326,1.88,14.847000000000001,57.0,30.0,51.0,0.558,1.0,0.0,11.0,14.0,0.0,0.0,0.0
2003,26.5,2003-07-23,204.0,20.517426076,20.16946974333333,3.313333333333333,6.844,87.0,25.0,,1.119,4.0,0.0,3.0,7.0,5.0,2.0,0.0
2004,53.0,2004-06-30,182.0,73.933346041,13.606430587999997,3.573333333333333,22.024,,51.0,,5.26,10.0,3.0,2.0,2.0,6.0,1.0,0.0
2005,31.0,2005-07-04,185.0,0.9026947440000002,17.810753266000003,3.64,11.502,31.0,27.666666666666668,50.0,2.6669,0.0,0.0,1.0,5.0,8.0,2.0,0.0
2006,57.0,2006-09-04,247.0,89.76230667499999,16.369190622666668,2.893333333333334,19.055,,31.666666666666668,17.0,4.5472,10.0,4.0,5.0,9.0,5.0,1.0,0.0
2007,26.0,2007-07-16,197.0,128.08312854800002,16.750733159333333,2.8200000000000003,178.14,58.0,34.0,74.0,3.588,12.0,2.0,3.0,9.0,2.0,1.0,0.0
2008,35.0,2008-07-28,210.0,42.62734349299999,18.598527617333335,2.75,33.563,54.0,34.666666666666664,53.0,0.559,3.0,2.0,4.0,8.0,4.0,2.0,0.0
2009,28.0,2009-06-22,173.0,26.921694079999998,13.999310502666667,3.1600000000000006,6.0310000000000015,17.5,33.333333333333336,,1.438,7.0,0.0,1.0,6.0,4.0,0.0,0.0
2010,24.0,2010-06-28,179.0,11.852801329,14.814195662666666,3.7199999999999998,16.023,28.5,28.333333333333332,67.0,0.093,3.0,0.0,0.0,3.0,5.0,1.0,0.0
2011,21.0,2011-07-04,185.0,31.128033107999997,17.10973273933333,3.1399999999999997,57.40300000000001,26.0,25.333333333333332,70.33333333333333,0.029,5.0,1.0,0.0,5.0,3.0,0.0,0.0
2012,28.0,2012-06-11,163.0,20.611569319999997,12.156643135666666,3.4399999999999995,24.471999999999994,37.0,28.0,65.33333333333333,0.002,5.0,0.0,0.0,5.0,6.0,1.0,0.0
2013,30.0,2013-08-05,217.0,21.827868866,18.763035549999994,3.24,3.724,33.0,25.0,53.400000000000006,0.333,4.0,0.0,1.0,5.0,4.0,0.0,0.0
2014,17.0,2014-06-10,161.0,20.932629135,16.538959037999998,3.233333333333333,14.901,39.0,17.725,51.1,0.113,4.0,1.0,0.0,5.0,2.0,1.0,0.0
2015,34.0,2015-08-19,231.0,16.519346105,16.81786464666667,3.533333333333333,57.196999999999996,42.5,24.5,43.0,0.233,2.0,1.0,1.0,5.0,7.0,2.0,0.0
2016,16.0,2016-08-15,228.0,110.32052452999999,15.256635686666668,4.173333333333333,23.116,49.0,17.25,50.0,0.163,9.0,6.0,0.0,2.0,8.0,3.0,0.0
2017,21.0,2017-07-31,212.0,17.914920308000003,17.61062296066667,3.3266666666666667,4.928,49.0,19.5,39.0,0.232,4.0,0.0,1.0,6.0,3.0,3.0,0.0
2018,16.0,2018-10-08,281.0,20.585272734,8.450279640933333,4.1466666666666665,2.399,,17.5,26.0,0.176,4.0,0.0,1.0,2.0,7.0,5.0,0.0
