year,TP,chla,colour,cyano
1980,43.57301587333334,16.080129870272728,,
1981,28.833333335,8.33125,,
1982,26.988095237142858,5.974999999999999,26.666666666666668,
1983,29.781250000000004,6.05,17.625,
1984,26.527500000000003,11.09,,
1985,30.957142858571427,11.895238094714287,34.404761904285714,
1986,33.78888889,12.677777776666666,27.472222223333333,
1987,23.433333333333334,8.511111111166667,29.02777777833333,
1988,29.533333333333335,14.055555556666668,32.27777777666667,
1989,27.057142857142853,14.271428571428572,23.857142857142858,
1990,28.900000000000006,12.242857142857142,19.857142857142858,
1991,27.225,9.425,20.625,
1992,31.342857142857145,16.757142857142856,21.285714285714285,
1993,27.3,12.614285714285716,24.428571428571427,
1994,30.442857142857147,18.257142857142856,27.714285714285715,
1995,29.45,21.883333333333336,25.833333333333332,
1996,31.283333333333335,21.3,17.666666666666668,4.8
1997,29.416666666666668,23.066666666666666,19.0,2.82
1998,32.36666666666667,21.099999999999998,,2.28
1999,,,50.42307692307692,5.96
2000,32.666666666666664,22.166666666666668,42.56,4.67
2001,38.333333333333336,21.03333333333333,68.42307692307692,0.58
2002,36.666666666666664,25.5,54.57692307692308,0.982
2003,33.57142857142857,16.821428571428573,42.875,1.291
2004,36.833333333333336,25.599999999999998,38.666666666666664,5.26
2005,32.01086956521739,20.2,46.5,3.0625999999999998
2006,34.5,29.15416666666667,48.333333333333336,4.5602
2007,32.16,17.944000000000003,64.66666666666667,3.588
2008,32.75,15.887500000000003,69.0,0.739
2009,28.956521739130434,16.343478260869567,58.285714285714285,1.586
2010,26.347826086956523,11.695652173913041,61.714285714285715,0.224
2011,26.56,12.188000000000002,72.88888888888889,0.079
2012,26.391304347826086,13.799999999999999,64.15384615384616,0.211
2013,22.992307692307694,14.13846153846154,60.22307692307693,0.534
2014,20.3,12.6,41.86363636363637,0.283
2015,24.25,14.924999999999997,52.833333333333336,0.233
2016,18.75,9.590909090909092,52.0,0.166
2017,19.666666666666668,12.866666666666665,42.0,0.258
2018,18.666666666666668,10.741666666666667,36.333333333333336,0.614
2019,25.8,14.983333333333334,47.0,0.592
